a	một
design	thiết kế
despite	mặc dù
detail	chi tiết
determine	mục đích
develop	phát triển, xây dựng
development	phát triển
die	chết
difference	Sự khác biệt
different	khác nhau
difficult	khó khăn
dinner	bữa tối
direction	phương hướng
director	giám đốc
discover	khám phá
discuss	bàn luận
discussion	thảo luận
disease	dịch bệnh
do	làm
doctor	Bác sĩ
dog	chó
door	cửa
down	xuống
draw	vẽ tranh
dream	mơ tưởng
drive	lái xe
drop	rơi vãi
drug	thuốc uống
during	suốt trong
each	mỗi
early	sớm
east	Đông
easy	dễ dàng
eat	ăn
economic	thuộc kinh tế
economy	nên kinh tê
edge	cạnh
education	giáo dục
effect	hiệu ứng
effort	cố gắng
eight	tám
either	hoặc
election	cuộc bầu cử
else	khác
employee	Nhân viên
end	kết thúc
energy	năng lượng
enjoy	thưởng thức
enough	đủ
enter	đi vào
entire	toàn thể
environment	môi trường
environmental	môi trường
especially	đặc biệt
establish	thành lập
even	cũng
evening	tối
event	biến cố
ever	không bao giờ
every	mỗi
everybody	mọi người
everyone	tất cả mọi người
everything	mọi điều
evidence	chứng cớ
exactly	chính xác
example	thí dụ
executive	điều hành
exist	hiện hữu
expect	chờ đợi
experience	kinh nghiệm
expert	chuyên gia
explain	giải thích
eye	mắt
face	đối mặt
fact	thực tế
factor	hệ số
fail	Thất bại
fall	ngã
family	gia đình
far	xa
fast	Nhanh
father	cha
fear	nỗi sợ
federal	liên bang
feel	cảm thấy
feeling	cảm giác
few	vài
field	cánh đồng
fight	chiến đấu
figure	nhân vật
fill	lấp đầy
film	phim ảnh
final	sau cùng
finally	cuối cùng
financial	tài chính
find	tìm thấy
fine	khỏe
finger	ngón tay
finish	hoàn thành
fire	ngọn lửa
firm	chắc chắn
first	Đầu tiên
fish	cá
five	số năm
floor	sàn nhà
fly	bay
focus	tiêu điểm
follow	theo
food	món ăn
foot	chân
for	cho
force	lực lượng
foreign	ngoại quốc
forget	quên
form	hình thức
former	trước đây
forward	phía trước
four	bốn
free	miễn phí
friend	người bạn
from	từ
front	trước mặt
full	đầy
fund	quỹ
future	Tương lai
game	trò chơi
garden	vườn
gas	khí ga
general	chung
generation	thế hệ
get	được
girl	con gái
give	đưa cho
glass	ly
go	đi
goal	mục tiêu
good	tốt
government	chính quyền
great	tuyệt quá
green	màu xanh lá
ground	đất
group	nhóm
grow	lớn lên
growth	sự phát triển
guess	phỏng đoán
gun	súng
guy	chàng
hair	tóc
half	một nửa
hand	tay
hang	treo
happen	xảy ra
happy	vui mừng
hard	cứng
have	có
he	anh ấy
head	cái đầu
health	Sức khỏe
hear	Nghe
heart	tim
heat	nhiệt
heavy	nặng
help	Cứu giúp
hello	xin chào
her	cô ấy
here	đây
herself	bản thân cô ấy
high	cao
him	anh ta
himself	bản thân anh ấy
his	của anh ấy
history	lịch sử
hit	đánh
hold	giữ
home	nhà
hope	mong
hospital	bệnh viện
hot	nóng bức
hotel	khách sạn
hour	giờ
house	nhà ở
how	làm sao
however	Tuy nhiên
huge	khổng lồ
human	Nhân loại
hundred	hàng trăm
husband	người chồng
I	tôi
idea	ý kiến
identify	nhận định
if	nếu
image	hình ảnh
imagine	tưởng tượng
impact	va chạm
important	quan trọng
improve	cải tiến
in	trong
include	bao gồm
including	kể cả
increase	tăng
indeed	thật
indicate	biểu thị
individual	cá nhân
industry	ngành công nghiệp
information	thông tin
inside	phía trong
instead	thay thế
institution	tổ chức
interest	quan tâm
interesting	hấp dẫn
international	quốc tế
interview	phỏng vấn
into	vào
investment	đầu tư
involve	liên quan
issue	vấn đề
it	nó
item	mục
its	nó là
itself	chinh no
job	việc làm
join	tham gia
just	chỉ
keep	giữ
key	Chìa khóa
kid	đứa trẻ
kill	giết chết
kind	loại
kitchen	phòng bếp
know	biết
knowledge	hiểu biết
land	đất đai
language	ngôn ngữ
large	lớn
last	Cuối cùng
late	muộn
later	một lát sau
laugh	cười
law	pháp luật
lawyer	luật sư
lay	đặt nằm
lead	chì
leader	người lãnh đạo
learn	học hỏi
least	ít nhất
leave	rời khỏi
left	trái
leg	Chân
legal	hợp pháp
less	ít hơn
let	để cho
letter	lá thư
level	cấp độ
lie	nói dối
life	đời sống
light	ánh sáng
like	như
likely	có khả năng
line	hàng
list	danh sách
listen	nghe
little	ít
live	trực tiếp
local	địa phương
long	Dài
look	nhìn
lose	thua
loss	mất mát
lot	nhiều
love	yêu
low	thấp
machine	máy móc
magazine	tạp chí
main	chủ yếu
maintain	duy trì
major	chính
majority	đa số
make	chế tạo
man	Đàn ông
manage	quản lý
management	sự quản lý
manager	giám đốc
many	nhiều
market	thị trường
marriage	kết hôn
material	vật chất
matter	vấn đề
may	có thể
maybe	có lẽ
me	tôi
mean	nghĩa là
measure	đo
media	phương tiện truyền thông
medical	Y khoa
meet	gặp
meeting	gặp gỡ
member	hội viên
memory	ký ức
mention	đề cập
message	thông điệp
method	phương pháp
middle	ở giữa
might	có thể
military	quân đội
million	triệu
mind	lí trí
minute	phút
miss	bỏ lỡ
mission	sứ mệnh
model	mô hình
modern	hiện đại
moment	chốc lát
money	tiền bạc
month	tháng
more	hơn
morning	buổi sáng
most	phần lớn
mother	mẹ
mouth	miệng
move	di chuyển
movement	sự di chuyển
movie	bộ phim
Mr	Ông
Mrs	Bà
much	nhiều
music	Âm nhạc
must	phải
my	của tôi
myself	riêng tôi
name	Tên
nation	quốc gia
national	Quốc gia
natural	tự nhiên
nature	Thiên nhiên
near	ở gần
nearly	Gần
necessary	cần thiết
need	nhu cầu
network	mạng lưới
never	không bao giờ
new	Mới
news	Tin tức
newspaper	báo chí
next	kế tiếp
nice	tốt đẹp
night	đêm
no	Không
none	không ai
nor	cũng không
north	Bắc
not	không phải
note	chú thích
nothing	không có gì
notice	để ý
now	hiện nay
n't	không phải
number	con số
occur	xảy ra
of	của
off	tắt
offer	phục vụ
office	văn phòng
officer	nhân viên văn phòng
official	chính thức
often	thường xuyên
oh	Oh
oil	dầu
ok	được
old	cũ
on	trên
once	Một lần
one	một
only	chỉ có
onto	trên
open	mở
operation	hoạt động
opportunity	cơ hội
option	Tùy chọn
or	hoặc là
order	gọi món
organization	cơ quan
other	khác
others	khác
our	của chúng tôi
out	ngoài
outside	ở ngoài
over	kết thúc
own	sở hữu
owner	chủ nhân
page	trang
pain	đau đớn
painting	bức vẽ
paper	giấy
parent	cha mẹ
part	phần
participant	người tham gia
particular	cụ thể
particularly	đặc biệt
partner	cộng sự
party	buổi tiệc
pass	vượt qua
past	quá khứ
patient	bệnh nhân
pattern	mẫu
pay	trả
peace	hòa bình
people	những người
per	mỗi
perform	biểu diễn
performance	hiệu suất
perhaps	có lẽ
period	giai đoạn
person	người
personal	cá nhân
phone	điện thoại
physical	vật lý
pick	chọn
picture	hình ảnh
piece	cái
place	địa điểm
plan	kế hoạch
plant	thực vật
play	chơi
player	người chơi
PM	PM
point	điểm
police	cảnh sát
policy	chính sách
political	chính trị
politics	chính trị
poor	nghèo nàn
popular	phổ biến
population	dân số
position	Chức vụ
positive	tích cực
possible	khả thi
power	quyền lực
practice	thực hành
prepare	chuẩn bị
present	hiện tại
president	chủ tịch
pressure	sức ép
pretty	đẹp
prevent	ngăn chặn
price	giá bán
private	riêng tư
probably	có lẽ
problem	vấn đề
process	quá trình
produce	sản xuất
product	sản phẩm
production	sản xuất
professional	chuyên nghiệp
professor	Giáo sư
program	chương trình
project	dự án
property	bất động sản
protect	bảo vệ
prove	chứng minh
provide	cung cấp
public	công cộng
pull	kéo
purpose	mục đích
push	đẩy
put	đặt
quality	phẩm chất
question	câu hỏi
quickly	Mau
quite	khá
race	cuộc đua
radio	radio
raise	nâng cao
range	phạm vi
rate	tỷ lệ
rather	hơn
reach	chạm tới
read	đọc
ready	sẳn sàng
real	thực
reality	thực tế
realize	nhận ra
really	có thật không
reason	lý do
receive	nhận được
recent	gần đây
recently	gần đây
recognize	nhìn nhận
record	ghi lại
red	đỏ
reduce	giảm
reflect	phản chiếu
region	khu vực
relate	liên hệ
relationship	mối quan hệ
religious	Tôn giáo
remain	còn lại
remember	nhớ lại
remove	tẩy
report	bài báo cáo
represent	đại diện
Republican	Đảng Cộng hòa
require	yêu cầu
research	nghiên cứu
resource	nguồn
respond	trả lời
response	phản ứng
responsibility	trách nhiệm
rest	nghỉ ngơi
result	kết quả
return	trở về
reveal	tiết lộ
rich	giàu có
right	đúng
rise	tăng lên
risk	rủi ro
road	đường
rock	đá
role	vai trò
room	phòng
rule	qui định
run	chạy
safe	an toàn
same	tương tự
save	tiết kiệm
say	Nói
scene	bối cảnh
school	trường học
science	khoa học
scientist	nhà khoa học
score	ghi bàn
sea	biển
season	Mùa
seat	ghế
second	thứ hai
section	phần
security	Bảo vệ
see	xem
seek	tìm kiếm
seem	hình như
sell	bán
send	gửi
senior	cao cấp
sense	giác quan
series	loạt
serious	nghiêm trọng
serve	phục vụ
service	dịch vụ
set	bộ
seven	bảy
several	một số
sex	tình dục
sexual	tình dục
shake	lắc
share	chia sẻ
she	bà ấy
shoot	bắn
short	ngắn
shot	bắn
should	Nên
shoulder	vai
show	chỉ
side	bên
sign	ký tên
significant	có ý nghĩa
similar	giống
simple	đơn giản
simply	đơn giản
since	kể từ đó
sing	hát
single	Độc thân
sister	em gái
sit	ngồi
site	trang web
situation	tình hình
six	sáu
size	kích thước
skill	kỹ năng
skin	da
small	nhỏ bé
smile	nụ cười
so	vì thế
social	xã hội
society	xã hội
soldier	lính
some	một số
somebody	có ai
someone	người nào
something	một cái gì đó
sometimes	đôi khi
son	Con trai
song	bài hát
soon	Sớm
sort	sắp xếp
sound	âm thanh
source	nguồn
south	miền Nam
southern	phía Nam
space	không gian
speak	nói
special	đặc biệt
specific	riêng
speech	phát biểu
spend	tiêu
sport	môn thể thao
spring	mùa xuân
staff	cán bộ
stage	sân khấu
stand	đứng
standard	Tiêu chuẩn
star	ngôi sao
start	khởi đầu
state	tiểu bang
statement	tuyên bố
station	ga tàu
stay	ở lại
step	bậc thang
still	vẫn
stock	cổ phần
stop	dừng lại
store	cửa hàng
story	câu chuyện
strategy	chiến lược
street	đường phố
strong	mạnh
structure	kết cấu
student	sinh viên
study	học
stuff	đồ đạc
style	Phong cách
subject	môn học
success	sự thành công
successful	thành công
such	như là
suddenly	đột ngột
suffer	đau khổ
suggest	đề nghị
summer	mùa hè
support	ủng hộ
sure	chắc chắn rồi
surface	bề mặt
system	hệ thống
table	bàn
take	lấy
talk	nói chuyện
task	bài tập
tax	Thuế
teach	dạy
teacher	giáo viên
team	đội
technology	Công nghệ
television	vô tuyến
tell	nói
ten	mười
tend	có xu hướng
term	kỳ hạn
test	kiểm tra
than	hơn
thank	cảm tạ
that	cái đó
the	các
their	của chúng
them	họ
themselves	bản thân họ
then	sau đó
theory	học thuyết
there	ở đó
these	những cái này
they	họ
thing	Điều
think	suy nghĩ
third	thứ ba
this	điều này
those	những, cái đó
though	Tuy nhiên
thought	nghĩ
thousand	nghìn
threat	mối đe dọa
three	số ba
through	xuyên qua
throughout	khắp
throw	ném
thus	do đó
time	thời gian
to	đến
today	hôm nay
together	cùng với nhau
tonight	tối nay
too	quá
top	hàng đầu
total	toàn bộ
tough	khó khăn
toward	về phía
town	thị trấn
trade	buôn bán
traditional	truyên thông
training	đào tạo
travel	du lịch
treat	đãi
treatment	điều trị
tree	cây
trial	thử nghiệm
trip	chuyến đi
trouble	rắc rối
TRUE	thật
truth	sự thật
try	thử
turn	xoay
TV	TV
two	hai
type	kiểu
under	Dưới
understand	hiểu không
unit	đơn vị
until	cho đến
up	lên
upon	trên
us	chúng tôi
use	sử dụng
usually	thông thường
value	giá trị
various	khác nhau
very	rất
victim	nạn nhân
view	lượt xem
violence	bạo lực
visit	chuyến thăm
voice	tiếng nói
vote	bỏ phiếu
wait	chờ đợi
walk	đi bộ
wall	Tường
want	muốn
war	chiến tranh
watch	đồng hồ đeo tay
water	Nước
way	đường
we	chúng tôi
weapon	vũ khí
wear	mặc
week	tuần
weight	cân nặng
well	tốt
west	hướng Tây
western	miền Tây
what	gì
whatever	bất cứ điều gì
when	khi nào
where	Ở đâu
whether	liệu
which	cái nào
while	trong khi
white	trắng
who	người nào
whole	toàn thể
whom	ai
whose	có ai
why	tại sao
wide	rộng
wife	người vợ
will	sẽ
win	thắng lợi
wind	gió
window	cửa sổ
wish	muốn
with	với
within	trong
without	không có
woman	đàn bà
wonder	ngạc nhiên
word	từ
work	công việc
worker	công nhân
world	thế giới
worry	lo
would	sẽ
write	viết
writer	nhà văn
wrong	sai rồi
yard	sân
yeah	vâng
year	năm
yes	Vâng
yet	chưa
you	bạn
young	trẻ
your	của bạn
yourself	bản thân bạn
